UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
572.6,290.8,0.051,0.914,1.216,0.01,0.04,18.316,8.225,0.213
580.1,281.6,0.051,0.919,1.176,0.01,0.04,18.331,8.293,0.218
580.1,281.6,0.051,0.919,1.176,0.01,0.04,18.331,8.293,0.218
558.7,275.9,0.047,0.927,1.19,0.01,0.04,18.258,8.151,0.22
558.7,275.9,0.047,0.927,1.19,0.01,0.04,18.258,8.151,0.22
570.5,269.8,0.052,0.961,1.239,0.01,0.04,18.264,8.127,0.214
566.1,258.1,0.051,0.909,1.214,0.01,0.04,18.266,8.188,0.223
566.1,258.1,0.051,0.909,1.214,0.01,0.04,18.266,8.188,0.223
581.9,290.4,0.065,0.918,1.282,0.01,0.03,18.117,8.065,0.232
581.9,290.4,0.065,0.918,1.282,0.01,0.03,18.117,8.065,0.232
566.1,288.7,0.051,0.918,1.233,0.01,0.04,18.228,8.189,0.226
566.1,288.7,0.051,0.918,1.233,0.01,0.04,18.228,8.189,0.226
538.7,279.9,0.048,0.943,1.243,0.01,0.03,18.26,8.11,0.217
549.6,285.8,0.047,0.976,1.281,0.01,0.04,18.217,8.078,0.211
549.6,285.8,0.047,0.976,1.281,0.01,0.04,18.217,8.078,0.211
545.6,258.9,0.045,0.944,1.216,0.01,0.03,18.171,8.152,0.209
545.6,258.9,0.045,0.944,1.216,0.01,0.03,18.171,8.152,0.209
576.6,290.3,0.047,0.98,1.26,0.01,0.04,18.269,8.09,0.21
578.8,290.5,0.045,0.978,1.264,0.01,0.04,18.287,8.056,0.211
578.8,290.5,0.045,0.978,1.264,0.01,0.04,18.287,8.056,0.211
580.6,288.1,0.053,0.934,1.248,0.01,0.04,18.306,8.17,0.227
580.6,288.1,0.053,0.934,1.248,0.01,0.04,18.306,8.17,0.227
570.4,279.6,0.049,0.957,1.244,0.01,0.04,18.278,8.187,0.228
570.4,279.6,0.049,0.957,1.244,0.01,0.04,18.278,8.187,0.228
530.4,290.4,0.047,0.913,1.232,0.01,0.04,18.271,8.106,0.224
530.4,290.4,0.047,0.913,1.232,0.01,0.04,18.271,8.106,0.224
538.1,280.5,0.045,0.904,1.235,0.01,0.04,18.22,8.207,0.213
545.9,285.9,0.047,0.919,1.231,0.01,0.04,18.314,8.219,0.226
545.9,285.9,0.047,0.919,1.231,0.01,0.04,18.314,8.219,0.226
570.5,288.7,0.046,0.917,1.194,0.01,0.04,18.329,8.267,0.212
570.5,288.7,0.046,0.917,1.194,0.01,0.04,18.329,8.267,0.212
570.5,288.7,0.046,0.917,1.194,0.01,0.04,18.329,8.267,0.212
578.8,281.8,0.045,0.924,1.235,0.01,0.04,18.222,8.172,0.217
578.8,281.8,0.045,0.924,1.235,0.01,0.04,18.222,8.172,0.217
569.6,273.4,0.048,0.938,1.243,0.01,0.04,18.174,8.104,0.228
565.6,299.1,0.046,0.91,1.287,0.01,0.04,18.15,8.065,0.212
565.6,299.1,0.046,0.91,1.287,0.01,0.04,18.15,8.065,0.212
530.6,299.1,0.047,0.937,1.304,0.01,0.03,18.124,8.063,0.221
530.6,299.1,0.047,0.937,1.304,0.01,0.03,18.124,8.063,0.221
549.1,298.4,0.05,0.882,1.238,0.01,0.04,18.235,8.178,0.226
549.1,298.4,0.05,0.882,1.238,0.01,0.04,18.235,8.178,0.226
569.1,270.5,0.049,0.942,1.314,0.01,0.03,18.159,8.08,0.224
580.4,287.6,0.051,0.913,1.25,0.01,0.04,18.104,8.201,0.244
570.2,275.7,0.049,0.886,1.236,0.01,0.04,18.021,8.095,0.246
570.2,275.7,0.049,0.886,1.236,0.01,0.04,18.021,8.095,0.246
571.8,255.8,0.051,0.913,1.265,0.01,0.04,18.173,8.142,0.247
571.8,255.8,0.051,0.913,1.265,0.01,0.04,18.173,8.142,0.247
571.8,255.8,0.051,0.913,1.265,0.01,0.04,18.173,8.142,0.247
530.5,290.4,0.046,0.882,1.237,0.01,0.04,18.238,8.183,0.233
531.8,291.1,0.052,0.826,1.252,0.01,0.03,18.164,8.054,0.227
531.8,291.1,0.052,0.826,1.252,0.01,0.03,18.164,8.054,0.227
533.4,299.4,0.051,0.874,1.191,0.01,0.04,18.279,8.153,0.223
533.4,299.4,0.051,0.874,1.191,0.01,0.04,18.279,8.153,0.223
